date,gz_spread,ebp,est_prob
SEP1996,1.2463,-0.3653,0.0997878332
OCT1996,1.2931,-0.3055,0.1142698171
NOV1996,1.3426,-0.2647,0.124963895
DEC1996,1.2726,-0.3740,0.0978023861
JAN1997,1.2925,-0.2837,0.1199126366
FEB1997,1.2043,-0.4212,0.0875192295
MAR1997,1.2368,-0.4269,0.0863298852
APR1997,1.2483,-0.3695,0.0988448805
MAY1997,1.1560,-0.4090,0.0900941806
JUN1997,1.1590,-0.4925,0.0735493347
JUL1997,1.2143,-0.4619,0.0793288272
AUG1997,1.1598,-0.4565,0.0803819745
SEP1997,1.1682,-0.5182,0.0689474602
OCT1997,1.3372,-0.3604,0.1009304938
NOV1997,1.3245,-0.2922,0.1176881076
DEC1997,1.3195,-0.3674,0.0993193032
JAN1998,1.3785,-0.3090,0.1133790398
FEB1998,1.3353,-0.2916,0.1178366271
MAR1998,1.3319,-0.3340,0.1071862591
APR1998,1.2319,-0.4128,0.0892901452
MAY1998,1.2410,-0.3646,0.0999490547
JUN1998,1.3447,-0.3365,0.1065849853
JUL1998,1.4028,-0.2883,0.1186997219
AUG1998,2.0493,0.0981,0.2502381162
SEP1998,2.1660,0.0752,0.2407451023
OCT1998,2.3201,0.2059,0.2973159972
NOV1998,2.0444,0.2066,0.2976689878
DEC1998,2.0120,0.0644,0.2363590022
JAN1999,1.9744,0.0716,0.2392777987
FEB1999,1.8321,-0.1701,0.1524011287
MAR1999,1.7231,-0.1409,0.1616289744
APR1999,1.6611,-0.1915,0.1458664748
MAY1999,1.7008,-0.1823,0.14864914
JUN1999,1.7325,-0.1285,0.1656406625
JUL1999,1.7948,-0.0751,0.1837075769
AUG1999,2.0086,-0.0179,0.2043534979
SEP1999,2.0596,0.1124,0.2562583012
OCT1999,2.1327,0.1264,0.262222372
NOV1999,2.0830,0.0879,0.2459743395
DEC1999,1.9079,-0.1414,0.1614741798
JAN2000,1.9932,0.0389,0.2261817143
FEB2000,2.1577,0.1025,0.2520880368
MAR2000,2.5125,0.3535,0.3676243031
APR2000,2.6713,0.5102,0.4474341496
MAY2000,2.8578,0.7086,0.5511272842
JUN2000,2.8548,0.7487,0.5719049979
JUL2000,2.9667,0.8144,0.6054576406
AUG2000,3.0992,0.9758,0.6842516761
SEP2000,3.2481,1.0832,0.7326075867
OCT2000,3.7026,1.4742,0.8717172436
NOV2000,3.8248,1.5587,0.8935503184
DEC2000,3.8534,1.5651,0.8950840335
JAN2001,3.4631,1.1468,0.7593819894
FEB2001,3.3725,1.1755,0.7709733498
MAR2001,3.3096,1.1023,0.7407956489
APR2001,3.2380,0.9233,0.6593461013
MAY2001,3.0182,0.7533,0.5742725586
JUN2001,3.0961,0.9852,0.6886418422
JUL2001,3.0478,0.7391,0.5669367718
AUG2001,3.0370,0.7224,0.5582696848
SEP2001,3.5295,1.1787,0.7722492784
OCT2001,3.4388,0.9990,0.6950092333
NOV2001,2.9818,-0.1820,0.1487314147
DEC2001,2.9119,0.4113,0.3965906548
JAN2002,2.9529,0.5768,0.4822013897
FEB2002,2.9794,0.7831,0.5895700696
MAR2002,2.6114,0.2683,0.3263155261
APR2002,2.6450,0.3885,0.385104714
MAY2002,2.7601,0.5276,0.4564835728
JUN2002,3.3547,1.0118,0.7009001435
JUL2002,4.1728,1.6135,0.9061882613
AUG2002,4.0541,1.5064,0.8803865647
SEP2002,4.3745,1.6449,0.9129089035
OCT2002,4.4115,1.4407,0.8622722967
NOV2002,3.8689,1.0902,0.7356447233
DEC2002,3.7520,0.9279,0.6615670641
JAN2003,3.6775,0.9267,0.6609737509
FEB2003,3.5297,0.7010,0.5471881619
MAR2003,3.2548,0.1489,0.2719406194
APR2003,2.7296,0.0546,0.2324047236
MAY2003,2.8341,-0.5425,0.0648079441
JUN2003,2.5603,-0.4052,0.0909064664
JUL2003,2.4839,-1.0812,0.0130917152
AUG2003,2.4278,-0.1572,0.1564261452
SEP2003,2.5039,-0.5221,0.0682747141
OCT2003,2.1577,-0.4785,0.0761510894
NOV2003,2.0924,-0.4847,0.0749949591
DEC2003,2.0006,-0.4466,0.0823346344
JAN2004,1.8610,-0.6810,0.0447933347
FEB2004,1.9904,-0.2863,0.1192215269
MAR2004,1.9885,-0.4895,0.0740935738
APR2004,1.8189,-0.7103,0.041276755
MAY2004,1.9811,-0.2941,0.1171803018
JUN2004,1.8618,-0.3286,0.1085084747
JUL2004,1.8086,-0.2619,0.1257313829
AUG2004,1.9106,-0.3985,0.0923725271
SEP2004,1.7910,-0.5370,0.0657429343
OCT2004,1.7982,-0.4966,0.0728032279
NOV2004,1.5720,-0.6373,0.0504863438
DEC2004,1.4941,-0.7014,0.0423157846
JAN2005,1.7369,-0.6755,0.0454807729
FEB2005,1.5767,-0.9272,0.0216328904
MAR2005,1.8782,-0.6267,0.0519560997
APR2005,2.1631,-0.3945,0.0932478361
MAY2005,2.1496,-0.2927,0.1175648351
JUN2005,1.9618,-0.4769,0.0764563661
JUL2005,1.7120,-0.5758,0.0594657719
AUG2005,1.8310,-0.5811,0.0586352523
SEP2005,1.8547,-0.4664,0.0784569804
OCT2005,1.9098,-0.3567,0.1018037323
NOV2005,1.8679,-0.3664,0.0995389728
DEC2005,1.9399,-0.3447,0.1046343572
JAN2006,1.7919,-0.4007,0.0918878008
FEB2006,1.7353,-0.3666,0.0995077063
MAR2006,1.7107,-0.4399,0.0836807042
APR2006,1.6249,-0.4762,0.0765858187
MAY2006,1.6427,-0.3677,0.0992357054
JUN2006,1.7397,-0.4065,0.0906339016
JUL2006,1.7816,-0.3178,0.1111783229
AUG2006,1.7904,-0.3434,0.1049343009
SEP2006,1.7965,-0.4183,0.0881241279
OCT2006,1.7017,-0.4343,0.0848132493
NOV2006,1.6821,-0.4118,0.0894966636
DEC2006,1.5883,-0.5235,0.0680355914
JAN2007,1.4750,-0.5804,0.0587428515
FEB2007,1.5037,-0.6072,0.0547378727
MAR2007,1.5754,-0.3965,0.0928056582
APR2007,1.5403,-0.3952,0.0930958578
MAY2007,1.4573,-0.6186,0.0530907564
JUN2007,1.6120,-0.4144,0.0889536626
JUL2007,2.1095,-0.0278,0.2006959252
AUG2007,2.2703,0.0919,0.2476497706
SEP2007,2.2309,0.0166,0.2174429644
OCT2007,2.1706,-0.0763,0.1832980069
NOV2007,2.7429,0.2578,0.3213500514
DEC2007,2.8203,0.3995,0.3906360506
JAN2008,3.2349,0.6305,0.5103215047
FEB2008,3.4923,0.8275,0.6121048974
MAR2008,3.7326,1.0504,0.7182602592
APR2008,3.2128,0.5629,0.4748820569
MAY2008,3.0642,0.5979,0.4932164682
JUN2008,3.3943,0.7040,0.5487326812
JUL2008,3.6212,0.9611,0.6773461476
AUG2008,3.7392,1.1165,0.7468166891
SEP2008,4.7381,1.6402,0.9119334419
OCT2008,7.0926,3.1789,0.9996305026
NOV2008,7.7761,2.6838,0.9967761951
DEC2008,7.5977,2.8312,0.998237142
JAN2009,6.3375,2.4955,0.9933685208
FEB2009,6.1870,2.9677,0.9990231355
MAR2009,6.2963,2.4775,0.9929163938
APR2009,5.3631,2.0689,0.9723215831
MAY2009,4.7907,1.2250,0.7901951584
JUN2009,4.1385,0.7975,0.5968846969
JUL2009,3.5269,0.2196,0.3035991242
AUG2009,3.3005,-0.0554,0.190643791
SEP2009,2.9511,-0.0410,0.195856254
OCT2009,2.8408,-0.2269,0.1354874085
NOV2009,2.8327,-0.0835,0.1807679097
DEC2009,2.4091,-0.5253,0.0677211775
JAN2010,2.3987,-0.2275,0.1353163677
FEB2010,2.4271,-0.0190,0.203952344
MAR2010,2.2224,-0.1516,0.1582144578
APR2010,2.1041,-0.2861,0.1192753836
MAY2010,2.5523,-0.1965,0.1443777648
JUN2010,2.6921,-0.0420,0.1954998186
JUL2010,2.5278,0.1143,0.2570448476
AUG2010,2.6774,-0.4186,0.0880731327
SEP2010,2.5155,-0.0873,0.1794726849
OCT2010,2.3921,-0.0520,0.1918733752
NOV2010,2.3858,-0.1879,0.1469694579
DEC2010,2.2088,-0.4416,0.0833463055
JAN2011,2.1079,0.0038,0.2125210285
FEB2011,1.9910,-0.2608,0.1260179431
MAR2011,1.9496,-0.2998,0.1157210858
APR2011,1.9508,-0.2648,0.1249470483
MAY2011,2.0412,-0.1425,0.1611102056
JUN2011,2.1268,-0.0091,0.2076310342
JUL2011,2.1872,-0.0786,0.1824847744
AUG2011,2.7723,-0.2111,0.1400702716
SEP2011,3.0572,0.2968,0.339955796
OCT2011,2.7645,-0.2249,0.1360603486
NOV2011,2.9469,0.3925,0.3870817063
DEC2011,2.8497,0.1566,0.2753114519
JAN2012,2.7179,0.0575,0.2335906381
FEB2012,2.4607,-0.0521,0.1918588241
MAR2012,2.3925,-0.4592,0.0798529906
APR2012,2.4878,-0.2805,0.1207570534
MAY2012,2.7469,-0.2533,0.1280665974
JUN2012,2.7000,0.0270,0.2215006593
JUL2012,2.5553,-0.1551,0.1571044484
AUG2012,2.4846,-0.3601,0.1010048968
SEP2012,2.3575,-0.2773,0.1216024969
OCT2012,2.1980,-0.2886,0.1186290711
NOV2012,2.2885,-0.1512,0.1583371866
DEC2012,2.1983,-0.2459,0.1301339301
JAN2013,2.0843,-0.1498,0.1587814806
FEB2013,2.1172,-0.1040,0.1737956101
MAR2013,2.0972,-0.1634,0.1544897323
APR2013,2.0379,-0.2004,0.1432046794
MAY2013,1.9621,-0.5699,0.0603786057
JUN2013,2.1325,-0.4288,0.0859487306
JUL2013,2.0146,-0.0408,0.1959054812
AUG2013,1.9875,-0.1522,0.1580226838
SEP2013,2.0537,-0.1693,0.15265536
